Time (s),Predicted SVID Combination
0,"[10, 12, 15, 18, 23, 24, 32]"
1,"[10, 12, 15, 18, 23, 24, 32]"
2,"[10, 12, 15, 18, 23, 24, 32]"
3,"[10, 12, 15, 18, 23, 24, 32]"
4,"[10, 12, 15, 18, 23, 24, 32]"
5,"[10, 12, 15, 18, 23, 24, 32]"
6,"[10, 12, 15, 18, 23, 24, 32]"
7,"[10, 12, 15, 18, 23, 24, 32]"
8,"[10, 12, 15, 18, 23, 24, 32]"
9,"[10, 12, 15, 18, 23, 24, 32]"
10,"[10, 12, 15, 18, 23, 24, 32]"
11,"[10, 12, 15, 18, 23, 24, 32]"
12,"[10, 12, 15, 18, 23, 24, 32]"
13,"[10, 12, 15, 18, 23, 24, 32]"
14,"[10, 12, 15, 18, 23, 24, 32]"
15,"[10, 12, 15, 18, 23, 24, 32]"
16,"[10, 12, 15, 18, 23, 24, 32]"
17,"[10, 12, 15, 18, 23, 24, 32]"
18,"[10, 12, 15, 18, 23, 24, 32]"
19,"[10, 12, 15, 18, 23, 24, 32]"
20,"[10, 12, 15, 18, 23, 24, 32]"
21,"[10, 12, 15, 18, 23, 24, 32]"
22,"[10, 12, 15, 18, 23, 24, 32]"
23,"[10, 12, 15, 18, 23, 24, 32]"
24,"[10, 12, 15, 18, 23, 24, 32]"
25,"[10, 12, 15, 18, 23, 24, 32]"
26,"[10, 12, 15, 18, 23, 24, 32]"
27,"[10, 12, 15, 18, 23, 24, 32]"
28,"[10, 12, 15, 18, 23, 24, 32]"
29,"[10, 12, 15, 18, 23, 24, 32]"
30,"[10, 12, 15, 18, 23, 24, 32]"
31,"[10, 12, 15, 18, 23, 24, 32]"
32,"[10, 12, 15, 18, 23, 24, 32]"
33,"[10, 12, 15, 18, 23, 24, 32]"
34,"[10, 12, 15, 18, 23, 24, 32]"
35,"[10, 12, 15, 18, 23, 24, 32]"
36,"[10, 12, 15, 18, 23, 24, 32]"
37,"[10, 12, 15, 18, 23, 24, 32]"
38,"[10, 12, 15, 18, 23, 24, 32]"
39,"[10, 12, 15, 18, 23, 24, 32]"
40,"[10, 12, 15, 18, 23, 24, 32]"
41,"[10, 12, 15, 18, 23, 24, 32]"
42,"[10, 12, 15, 18, 23, 24, 32]"
43,"[10, 12, 15, 18, 23, 24, 32]"
44,"[10, 12, 15, 18, 23, 24, 32]"
45,"[10, 12, 15, 18, 23, 24, 32]"
46,"[10, 12, 15, 18, 23, 24, 32]"
47,"[10, 12, 15, 18, 23, 24, 32]"
48,"[10, 12, 15, 18, 23, 24, 32]"
49,"[10, 12, 15, 18, 23, 24, 32]"
50,"[10, 12, 15, 18, 23, 24, 32]"
51,"[10, 12, 15, 18, 23, 24, 32]"
52,"[10, 12, 15, 18, 23, 24, 32]"
53,"[10, 12, 15, 18, 23, 24, 32]"
54,"[10, 12, 15, 18, 23, 24, 32]"
55,"[10, 12, 15, 18, 23, 24, 32]"
56,"[10, 12, 15, 18, 23, 24, 32]"
57,"[10, 12, 15, 18, 23, 24, 32]"
58,"[10, 12, 15, 18, 23, 24, 32]"
59,"[10, 12, 15, 18, 23, 24, 32]"
